date,company,count
2026-06-06,NVIDIA,0
2026-06-06,AMD,0
2026-06-06,Micron,0
2026-06-06,Broadcom,0
2026-06-06,Marvell,0
2026-06-06,Meta,0
2026-06-06,Microsoft,0
2026-06-06,Google,5
2026-06-06,Amazon,0
2026-06-06,OpenAI,0
2026-06-06,Anthropic,0
2026-06-06,Nebius,0
2026-06-06,CoreWeave,0
2026-06-07,NVIDIA,2
2026-06-07,AMD,0
2026-06-07,Micron,0
2026-06-07,Broadcom,0
2026-06-07,Marvell,2
2026-06-07,Meta,2
2026-06-07,Microsoft,0
2026-06-07,Google,7
2026-06-07,Amazon,0
2026-06-07,OpenAI,0
2026-06-07,Anthropic,2
2026-06-07,Nebius,0
2026-06-07,CoreWeave,0
2026-06-08,NVIDIA,6
2026-06-08,AMD,0
2026-06-08,Micron,0
2026-06-08,Broadcom,0
2026-06-08,Marvell,0
2026-06-08,Meta,0
2026-06-08,Microsoft,0
2026-06-08,Google,0
2026-06-08,Amazon,0
2026-06-08,OpenAI,0
2026-06-08,Anthropic,0
2026-06-08,Nebius,0
2026-06-08,CoreWeave,0
2026-06-09,NVIDIA,0
2026-06-09,AMD,0
2026-06-09,Micron,0
2026-06-09,Broadcom,0
2026-06-09,Marvell,0
2026-06-09,Meta,0
2026-06-09,Microsoft,0
2026-06-09,Google,4
2026-06-09,Amazon,6
2026-06-09,OpenAI,6
2026-06-09,Anthropic,0
2026-06-09,Nebius,0
2026-06-09,CoreWeave,0
